iter	Passed	Remaining
0	163	163198
1	165	82450
2	166	55298
3	167	41729
4	168	33598
5	170	28210
6	172	24422
7	173	21521
8	175	19294
9	176	17443
10	177	15924
11	178	14661
12	178	13584
13	179	12658
14	180	11850
15	180	11127
16	181	10506
17	182	9960
18	183	9453
19	183	9004
20	184	8591
21	184	8218
22	185	7877
23	186	7564
24	186	7276
25	186	7000
26	187	6762
27	188	6532
28	188	6313
29	188	6110
30	189	5921
31	189	5744
32	190	5579
33	190	5423
34	191	5273
35	191	5131
36	191	4997
37	192	4869
38	192	4749
39	193	4635
40	193	4526
41	193	4422
42	194	4321
43	194	4229
44	195	4142
45	195	4055
46	196	3977
47	196	3900
48	197	3826
49	197	3755
50	198	3687
51	198	3619
52	199	3556
53	199	3496
54	200	3437
55	200	3382
56	201	3329
57	201	3279
58	202	3227
59	202	3178
60	203	3129
61	203	3082
62	204	3038
63	204	2993
64	205	2951
65	205	2909
66	206	2869
67	206	2828
68	206	2790
69	207	2753
70	207	2714
71	207	2679
72	208	2645
73	208	2612
74	209	2580
75	209	2550
76	210	2520
77	210	2491
78	211	2461
79	211	2433
80	212	2406
81	212	2379
82	213	2354
83	213	2329
84	214	2304
85	214	2280
86	215	2256
87	215	2235
88	216	2212
89	216	2190
90	217	2167
91	217	2150
92	218	2130
93	219	2110
94	219	2090
95	219	2070
96	220	2050
97	220	2031
98	221	2012
99	221	1994
100	222	1976
101	222	1958
102	223	1942
103	223	1925
104	223	1908
105	224	1892
106	224	1875
107	225	1860
108	225	1844
109	226	1829
110	226	1816
111	227	1803
112	228	1789
113	228	1774
114	228	1760
115	229	1747
116	229	1734
117	230	1721
118	230	1708
119	231	1695
120	231	1684
121	232	1672
122	232	1660
123	233	1649
124	234	1639
125	234	1627
126	235	1617
127	235	1605
128	236	1594
129	236	1583
130	236	1572
131	237	1561
132	237	1550
133	238	1539
134	238	1529
135	239	1518
136	239	1509
137	240	1500
138	241	1493
139	241	1485
140	242	1476
141	242	1466
142	243	1457
143	243	1448
144	244	1440
145	244	1431
146	245	1422
147	245	1413
148	246	1405
149	246	1396
150	246	1388
151	247	1380
152	247	1372
153	248	1364
154	248	1356
155	249	1347
156	249	1339
157	249	1332
158	250	1324
159	250	1317
160	251	1309
161	251	1302
162	252	1295
163	252	1288
164	253	1281
165	253	1275
166	254	1268
167	254	1262
168	255	1255
169	255	1248
170	256	1241
171	256	1235
172	257	1228
173	257	1222
174	257	1215
175	258	1209
176	258	1203
177	259	1196
178	259	1190
179	260	1184
180	260	1178
181	260	1172
182	261	1166
183	261	1160
184	262	1155
185	262	1149
186	263	1143
187	263	1137
188	263	1132
189	264	1126
190	264	1121
191	265	1115
192	265	1110
193	266	1105
194	266	1100
195	267	1095
196	267	1091
197	268	1086
198	268	1081
199	269	1076
200	269	1072
201	270	1067
202	270	1062
203	270	1057
204	271	1052
205	271	1047
206	272	1042
207	272	1038
208	273	1033
209	273	1028
210	273	1024
211	274	1019
212	274	1015
213	275	1010
214	275	1006
215	276	1002
216	276	997
217	276	993
218	277	989
219	277	984
220	278	980
221	278	976
222	279	972
223	279	968
224	280	964
225	280	960
226	281	957
227	281	953
228	282	949
229	282	945
230	283	942
231	283	938
232	284	935
233	284	932
234	285	930
235	286	926
236	286	923
237	287	919
238	287	916
239	288	912
240	288	909
241	289	905
242	289	901
243	289	898
244	290	894
245	290	891
246	291	887
247	291	884
248	292	880
249	292	877
250	292	874
251	293	872
252	294	869
253	295	866
254	295	863
255	295	860
256	296	857
257	296	854
258	297	850
259	297	847
260	298	844
261	298	841
262	299	838
263	299	835
264	300	832
265	300	829
266	300	826
267	301	823
268	301	820
269	302	817
270	302	814
271	303	811
272	303	808
273	304	805
274	304	802
275	304	799
276	305	797
277	306	794
278	306	792
279	307	790
280	307	787
281	308	784
282	308	782
283	309	779
284	309	777
285	310	774
286	310	771
287	311	769
288	311	766
289	311	763
290	312	761
291	312	758
292	313	755
293	313	753
294	314	750
295	314	748
296	315	745
297	315	743
298	315	740
299	316	738
300	316	735
301	317	733
302	317	730
303	318	728
304	318	726
305	319	723
306	319	721
307	320	719
308	320	717
309	321	715
310	321	713
311	322	710
312	322	708
313	323	706
314	323	703
315	324	701
316	324	699
317	324	696
318	325	694
319	325	692
320	326	690
321	326	687
322	327	685
323	327	683
324	327	681
325	328	678
326	328	676
327	329	674
328	329	672
329	330	670
330	330	668
331	330	665
332	332	665
333	332	663
334	333	662
335	334	660
336	334	658
337	335	656
338	335	654
339	336	652
340	336	650
341	337	648
342	337	646
343	338	644
344	338	642
345	338	640
346	339	638
347	339	636
348	340	634
349	340	632
350	341	630
351	341	628
352	342	627
353	342	625
354	343	623
355	343	621
356	343	619
357	344	617
358	344	615
359	345	613
360	345	612
361	346	610
362	346	608
363	347	607
364	347	605
365	348	603
366	348	601
367	349	599
368	349	598
369	350	596
370	350	594
371	351	592
372	351	590
373	352	589
374	352	587
375	352	585
376	353	584
377	353	582
378	354	580
379	354	578
380	355	577
381	355	575
382	356	573
383	356	572
384	357	570
385	357	568
386	357	567
387	358	565
388	358	563
389	359	562
390	360	560
391	360	559
392	361	557
393	361	556
394	362	554
395	362	552
396	362	551
397	363	549
398	363	548
399	364	547
400	365	545
401	365	544
402	366	542
